KEY,CARD_KEY,설명(무시되는 데이터),LEVEL,LEVELING_TYPE,LEVELING_DESC,HP_BASE,DAMAGE,RECOVERY,DEFENCE,SKILL_FACTOR,EFFECT_FACTOR,RECOVERY_FACTOR,DEFENCE_FACTOR,SKILL1,SKILL2,SKILL3,SKILL4,SKILL5,SKILL6,SKILL7,SKILL8,SKILL9,SKILL10
10011,1001,기사단 vr.1 방패병,1,NORMAL,,400,0,0,0,10,0,0,0,1,3,,,,,,,,
10012,1001,,2,NORMAL,주사위 스킬 조건이 [5-8]로 변경됩니다. 주사위 숫자가 8이면 회복량 100으로 증가합니다.,400,0,0,0,10,0,0,0,1,4,3,,,,,,,
10013,1001,,3,MAX_LEVEL,주사위 스킬이 다른 아군 대신 모든 아군을 회복시킵니다.,400,0,0,0,10,0,0,0,2,5,3,,,,,,,
10021,1002,기사단 vr.2 기사,1,NORMAL,,200,10,0,0,30,0,0,0,6,7,,,,,,,,
10022,1002,,2,NORMAL,주사위 스킬 조건이 [5-8]로 변경됩니다. 이때 주사위 숫자가 8이면 추가 피해 20을 입힙니다.,200,10,0,0,30,0,0,0,6,8,7,,,,,,,
10023,1002,,3,MAX_LEVEL,고유 스킬로 입는 피해가 30에서 10으로 감소되고 주사위 스킬의 피해량이 1.5배가 됩니다.,200,15,0,0,10,0,0,0,6,8,7,,,,,,,
10031,1003,기사단,1,NORMAL,,200,10,0,0,0,0,0,0,12,15,,,,,,,,
10032,1003,,2,NORMAL,주사위 스킬 조건이 [4-7]로 변경됩니다.,200,10,0,0,0,0,0,0,13,15,,,,,,,,
10033,1003,,3,MAX,주사위 스킬이 2번 피해를 줍니다.,200,10,0,0,0,0,0,0,14,15,,,,,,,,
10041,1004,보도도,1,NORMAL,,200,0,0,0,10,0,0,0,16,18,,,,,,,,
10042,1004,,2,NORMAL,주사위 스킬 조건이 1~4로 늘어납니다.,200,0,0,0,10,0,0,0,17,18,,,,,,,,
10043,1004,,3,MAX_LEVEL,[비바체] 카드의 능력이 적군 전체로 늘어납니다.,200,0,0,0,10,0,0,0,17,18,,,,,,,,
10051,1005,우왁굳,1,NORMAL,,200,20,0,0,20,0,0,0,19,22,25,26,,,,,,
10052,1005,,2,NORMAL,"주사위 숫자가 1이면 대상 아군은 걸린 디버프를 모두 해제한 후 디버프 면역을 얻으며, 주사위 숫자가 8이면 공격 전 대상 적의 방어도가 전부 제거됩니다.",200,20,0,0,20,0,0,0,20,23,25,26,27,29,,,,
10053,1005,,3,ADD_STAT,"주사위 스킬의 대상을 최대 2명까지 고를 수 있습니다. 한 턴에 한 번, 조건에 [우왁굳] 이 쓰인 카드가 패에 없으면 무작위로 하나를 얻습니다.",200,20,0,0,20,0,0,0,21,24,25,26,28,30,31,,,
10061,1006,사냥우벌,1,ADD_STAT,레벨이 1로 고정됩니다. 레벨 업 시 체력이 회복되고 블록 한 장을 패에 추가합니다,150,0,0,0,0,0,0,0,32,33,34,,,,,,,
10071,1007,왁순이,1,NORMAL,,240,10,0,0,0,0,0,0,35,37,,,,,,,,
10072,1007,,2,NORMAL,고유스킬 발동시 추가로 패의 [잔디의 지배자] 태그 카드의 수*20 만큼 회복합니다,240,10,0,0,0,0,0,0,35,38,,,,,,,,
10073,1007,,3,MAX_LEVEL,주사위 스킬 조건이 5~8으로 변경됩니다.,240,10,0,0,0,0,0,0,36,38,,,,,,,,
10391,1039,적,1,ENEMY,,30,40,0,0,0,0,0,0,75,76,77,,,,,,,
10392,1039,적,2,ENEMY,,80,40,0,0,0,0,0,0,76,77,78,,,,,,,
10393,1039,적,3,ENEMY,,100,40,0,0,0,0,0,0,77,78,79,,,,,,,
10401,1040,적,1,ENEMY,,30,40,0,0,0,0,0,0,78,75,77,,,,,,,
10402,1040,적,2,ENEMY,,80,40,0,0,0,0,0,0,78,75,77,,,,,,,
10403,1040,적,3,ENEMY,,100,40,0,0,0,0,0,0,78,75,77,,,,,,,
10411,1041,적,1,ENEMY,,120,50,0,0,30,1,0,0,79,80,81,82,,,,,,
10412,1041,적,2,ENEMY,,150,50,0,0,30,1,0,0,79,80,81,82,,,,,,
10413,1041,적,3,ENEMY,,180,50,0,0,30,2,0,0,79,80,81,82,,,,,,
10421,1042,적,1,ENEMY,,120,50,0,0,30,1,0,0,83,80,81,84,,,,,,
10422,1042,적,2,ENEMY,,150,50,0,0,30,1,0,0,83,80,81,84,,,,,,
10423,1042,적,3,ENEMY,,180,50,0,0,40,1,0,0,83,80,81,84,,,,,,
